idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
605,2023,4,1,0.0,11.9,18.237923267470567,833.75,250.0,18.237923267470563,0.0,2.0
606,2023,4,2,0.0,12.356799999999993,16.25960587504048,833.75,242.85,16.25960587504049,0.0,2.0
607,2023,4,3,0.0,34.34720000000001,41.43481332405886,833.75,242.85,41.43481332405887,0.0,2.0
608,2023,4,4,0.0,66.257,74.03351278750577,833.75,242.85,74.03351278750577,0.0,2.0
609,2023,4,5,0.0,46.908,55.42731920912053,833.75,242.90000000000003,55.42731920912051,0.0,2.0
610,2023,4,6,0.0,101.261,112.8910127310809,833.75,242.90000000000003,112.8910127310809,0.0,2.0
611,2023,4,7,0.0,109.76019999999998,136.6177978645427,793.9625000000001,232.94166666666663,136.61779786454272,0.0,2.0
612,2023,4,8,0.0,12.046600000000003,13.597454553862278,450.3375,224.65833333333333,13.597454553862264,0.0,2.0
613,2023,4,9,0.0,23.119000000000003,29.9045201669705,451.6125,216.575,29.90452016697049,0.0,2.0
614,2023,4,10,0.0,100.9848,124.5516142403802,1219.4916666666666,225.1833333333333,124.5516142403802,0.0,2.0
615,2023,4,11,0.0,58.6592,69.10282361564393,1068.3041666666668,216.6833333333333,69.10282361564384,0.0,2.0
616,2023,4,12,0.0,96.3734,110.75632918265327,960.2875,213.3875,110.75632918265326,0.0,2.0
617,2023,4,13,0.0,113.041,132.0327814266973,949.79375,219.10625,132.03278142669728,0.0,2.0
618,2023,4,14,0.0,67.80839999999999,81.02815884600581,976.975,213.1125,81.02815884600582,0.0,2.0
619,2023,4,15,0.0,4.352,4.492533957157153,425.2,211.025,4.492533957157155,0.0,2.0
620,2023,4,16,0.0,2.5520000000000014,4.473814106970098,447.70416666666665,222.5583333333333,4.473814106970095,0.0,2.0
621,2023,4,17,0.0,33.623999999999995,43.23941562646603,900.0375,236.65,43.23941562646601,0.0,2.0
622,2023,4,18,0.0,20.72,28.036128778414188,880.5062499999999,238.31875,28.036128778414195,0.0,2.0
623,2023,4,19,0.0,90.876,108.38816165452444,993.3625,241.4125,108.38816165452442,0.0,2.0
624,2023,4,20,0.0,79.8658,100.0365282497898,1125.8416666666667,235.1458333333333,100.0365282497898,0.0,2.0
625,2023,4,21,0.0,110.2194,130.1989036509759,1313.0125,238.3,130.19890365097586,0.0,2.0
626,2023,4,22,0.0,24.9712,31.575633495574248,463.0958333333333,207.30416666666667,31.57563349557426,0.0,2.0
627,2023,4,23,0.0,12.691399999999998,18.270470955100407,440.0875,204.25,18.2704709551004,0.0,2.0
628,2023,4,24,0.0,67.69160000000001,76.41495707823034,1166.5875,211.2375,76.41495707823029,0.0,2.0
629,2023,4,25,7.105427357601002e-15,87.08479999999999,106.3161684882654,1342.6,224.8375,106.3161684882654,0.0,2.0
630,2023,4,26,0.0,72.80219999999997,92.0128317995374,1489.275,238.7,92.01283179953737,0.0,2.0
631,2023,4,27,0.0,68.027,79.05808394260745,1651.6,245.575,79.05808394260745,0.0,2.0
632,2023,4,28,0.0,66.40780000000001,79.45941214574691,1447.4625,251.5375,79.45941214574691,0.0,2.0
633,2023,4,29,0.0,4.988000000000001,8.869352278482106,458.6208333333333,228.99166666666667,8.869352278482111,0.0,2.0
634,2023,4,30,0.0,11.092200000000004,18.1785483530316,456.1125,225.25,18.178548353031605,0.0,2.0
635,2023,6,1,0.0,96.3108,105.58253731365468,1033.9333333333332,243.54166666666663,105.58253731365464,0.0,2.0
636,2023,6,2,0.0,78.74000000000002,101.68698175535734,1078.475,230.7375,101.68698175535732,0.0,2.0
637,2023,6,3,0.0,10.1246,13.899270831362152,497.92083333333335,221.09583333333333,13.899270831362152,0.0,2.0
638,2023,6,4,0.0,26.873800000000003,31.111951525350925,485.4875,232.6458333333333,31.111951525350893,0.0,2.0
639,2023,6,5,0.0,68.16260000000001,87.87066533422401,1260.6125000000002,253.9625,87.87066533422399,0.0,2.0
